Food Title,Author Name,Image URL,Recipe URL
Alugadde Batani Gasi Recipe - Potatoes And Peas Gassi,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/nithya.anantham/Alugadde_Batani_Gasi_Recipe_Potatoes_And_Peas_Gassi_2_400x320.jpg,https://www.archanaskitchen.com/batani-gassi-recipe-udupi-style-potatoes-and-peas-curry
Sweet Corn Spring Onion Momo Recipe - Sweet Corn Dumplings,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/April-09/Corn_And_Spring_Onion_Momo_Recipe_Dimsum-7_400x320.jpg,https://www.archanaskitchen.com/sweet-corn-spring-onion-momo-recipe-sweet-corn-dumplings
no-title,Archana Doshi,no-image,no-url
Cabbage Slaw with Ginger Tahini Dressing Recipe,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/sibyl_sunitha/Cabbage_Slaw_with_Ginger_Tahini_Dressing_Recipe_400x320.jpg,https://www.archanaskitchen.com/cabbage-slaw-with-ginger-tahini-dressing-recipe
Maheri Recipe,Aarti Sharma,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/aarti/Maheri_Recipe_400x320.jpg,https://www.archanaskitchen.com/maheri-recipe
Chettinad Kathirikai Chops Recipe - Brinjal Curry for Biryani,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/sneha-archanaskitchen.com/Chettinad_Kathirikai_Chops_Recipe_Brinjal_Chops__400x320.jpg,https://www.archanaskitchen.com/chettinad-kathirikai-chops-recipe-brinjal-curry-for-biryanis
Ridge Gourd Tambli Recipe - Spicy Ridge Gourd in Coconut Curry,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Revati_Upadhya/Ridge_Gourd_Tambli_Recipe_Spicy_Ridge_Gourd_in_Coconut_Curry_400x320.jpg,https://www.archanaskitchen.com/ridge-gourd-tambli-recipe-spicy-ridge-gourd-in-coconut-curry
Chettinad Style Kara Kuzhambu Recipe with Potato and Brinjal,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/mkavya87-gmail.com/Chettinad_Style_Kara_Kuzhambu_Recipe_with_Potato_and_Brinjal_1_400x320.jpg,https://www.archanaskitchen.com/chettinadu-style-potato-kaarakozhambu-recipe
Spinach Hummus Recipe,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/sibyl_sunitha/Spinach_Hummus_Recipe__400x320.jpg,https://www.archanaskitchen.com/spinach-hummus-recipe
Milagai Bajji Stuffed with Masala Chicken Recipe,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/sibyl_sunitha/Milagai_Bajji_Stuffed_with_Masala_Chicken_Recipe__400x320.jpg,https://www.archanaskitchen.com/milagai-bajji-stuffed-with-masala-chicken-recipe
"Hyderabadi Bagare Tamatar (Spiced, Tossed Tomato Curry)",Lubna Karim,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Lubna_Karim/Hyderabadi_Bagare_Tamatar_400x320.jpg,https://www.archanaskitchen.com/hyderabadi-bagare-tamatar-spiced-tossed-tomato-curry
Marrakesh Vegetable Curry Recipe,Smitha Kalluraya,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Smitha-Kalluraya/Marrakesh_Vegetable_Curry_Recipe_400x320.jpg,https://www.archanaskitchen.com/marrakesh-vegetable-curry-recipe
Mushroom Tikka Masala Dry Recipe,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/sibyl-archanaskitchen.com/Mushroom_Tikka_Masala_Dry_Recipe__400x320.jpg,https://www.archanaskitchen.com/mushroom-tikka-masala-dry-recipe
Konkani Style Vengaya Sagle Recipe - Eggplant Drumstick Curry,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/sibyl_sunitha/Konkani_Style_Vengaya_Sagle_Recipe_Eggplant_and_Drumstick_Curry_Recipe__400x320.jpg,https://www.archanaskitchen.com/konkani-style-vengaya-sagle-recipe-eggplant-and-drumstick-curry-recipe
Coorg Style Bollari Barthad Recipe - Mangalore Cucumber Stir Fry,Smitha Kalluraya,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Smitha-Kalluraya/Coorg__Bollari_Barthad_Mangalore_Cucumber_Stir_Fry__400x320.jpg,https://www.archanaskitchen.com/coorg-style-bollari-barthad-recipe-mangalore-cucumber-stir-fry
Egg Scramble With Drumstick Leaves Recipe,RUBY PATHAK,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/ruby_pathak-yahoo.com/Egg_Scramble_With_Drumstick_Leaves_400x320.jpg,https://www.archanaskitchen.com/egg-scramble-with-drumstick-leaves-recipe
Whole Wheat Buttermilk Banana Pancakes Recipes,Archana Doshi,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/World_Breakfast/Whole_Wheat_Buttermilk_Pancakes_recipe_Egg_Free_Eggless-1_400x320.jpg,https://www.archanaskitchen.com/whole-wheat-buttermilk-banana-pancakes-recipes
Chotti Aloor Dum Recipe - Baby Potatoes In Tomato Gravy,Karthika Gopalakrishnan,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Karthika_Gopalakrishnan/Chotti_Aloor_Dum_400x320.jpg,https://www.archanaskitchen.com/chotti-aloor-dum-recipe-baby-potatoes-in-tomato-gravy
Kongunadu Style Senai Kilangu Masala Recipe - Yam in Spicy Gravy,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/sibyl_sunitha/Kongunadu_Style_Senai_Kilangu_Masala_Recipe_Yam_in_Spicy_Gravy_400x320.jpg,https://www.archanaskitchen.com/kongunadu-style-senai-kilangu-masala-recipe-yam-in-spicy-gravy
Moongphali Bhindi Sabzi Recipe - Lady's Finger Peanut Stir Fry,Archana Doshi,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2021/Moongphali_Bhindi_recipe_Okra_Ladys_finger_with_peanuts_3_400x320.jpg,https://www.archanaskitchen.com/moongphali-bhindi-recipe-okra-and-peanut-stir-fry
Udupi Style Ash Gourd Coconut Curry Recipe,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/sibyl_sunitha/Udupi_Style_Ash_Gourd_Coconut_Curry_Recipe__400x320.jpg,https://www.archanaskitchen.com/udupi-style-ash-gourd-coconut-curry-recipe
Healthy Yogurt Parfait with Oats and Fresh Fruits Recipe,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/sibyl_sunitha/Healthy_Yogurt_Parfait_with_Oats_and_Fresh_Fruits_Recipe__400x320.jpg,https://www.archanaskitchen.com/healthy-yogurt-parfait-with-oats-and-fresh-fruits-recipe
Moolangi Tovve Recipe - Radish Curry,Madhuri Aggarwal,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Madhuri_Aggarwal/Moolangi_Tovve__Raddish_Curry_400x320.jpg,https://www.archanaskitchen.com/moolangi-tovve-raddish-curry-recipe
One Pot Vegetable Pasta With Beans Recipe,Nupur Mehra,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Nupur_Mehra/One_pot_Vegetable_Pasta_with_beans_400x320.jpg,https://www.archanaskitchen.com/one-pot-vegetable-pasta-with-beans-recipe
Konkani Style Batata Song Recipe - Dry Red Chili Potatoes Fry,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/sibyl_sunitha/Konkani_Style_Batata_Song_Recipe_Dry_Red_Chili_Potatoes_Fry_Recipe__400x320.jpg,https://www.archanaskitchen.com/konkani-style-batata-song-recipe-dry-red-chili-potatoes-fry-recipe
Misa Maas Kordoi Tenga Recipe (Shrimp With Star Fruit Curry),Usashi Mandal,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/usashis-gmail.com/Maas_Aru_Kordoi_TengaFish_with_Star_fruit_400x320.jpg,https://www.archanaskitchen.com/misa-maas-kordoi-tenga-recipe-shrimp-with-star-fruit-curry
"Kidney Beans, Crumbled Feta, Basil Salad with Lemon Vinaigrette Recipe",Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/sibyl_sunitha/Kidney_Beans_Crumbled_Feta_Basil_Salad_with_Lemon_Vinaigrette_Recipe_400x320.jpg,https://www.archanaskitchen.com/kidney-beans-crumbled-feta-basil-salad-with-lemon-vinaigrette-recipe
Goan Bimbla Uddamethi Recipe,Pooja Nadkarni,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/poojanadkarni/GOAN_BIMBLA_UDDAMETHIBILIMBI_CURRY_400x320.jpg,https://www.archanaskitchen.com/goan-bimbla-uddamethi-recipe
Spicy & Masaledar Aloo Gobi & Beans Tawa Sabzi Recipe,Archana Doshi,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/0-Archanas-Kitchen-Recipes/Aloo_Gobi_And_Beans_Tawa_Sabzi-3_400x320.jpg,https://www.archanaskitchen.com/spicy-masaledar-aloo-gobi-beans-tawa-sabzi-recipe
Spinach Corn & Cheese Momo Recipe,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/sneha-archanaskitchen.com/Spinach_Corn__Cheese_Momos_Recipe__400x320.jpg,https://www.archanaskitchen.com/spinach-corn-cheese-momo-recipe
Palak Tambuli Recipe - Udupi Style Spinach Tambli,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Smitha_Kalluraya/Palak_Tambuli_Recipe_2_400x320.jpg,https://www.archanaskitchen.com/palak-tambuli-udupi-style-spinach-tambli-recipe
Chettinad Style Urulai Roast Recipe - Baby Potato Roast,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/sibyl_sunitha/Chettinad_Style_Urali_Roast_Recipe_Spicy_Baby_potatoes_Roast_Recipe_400x320.jpg,https://www.archanaskitchen.com/chettinad-style-urali-roast-recipe-spicy-baby-potatoes-roast-recipe
Pav Bhaji Flavored Pasta Recipe-Fusion Fusilli Pasta,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Rupal/pav-bhaji-flavored-pasta-recipe-fusion-fusilli-pasta_400x320.jpg,https://www.archanaskitchen.com/pav-bhaji-flavored-pasta-recipe-fusion-fusilli-pasta
Vegetarian Mexican Fried Rice Recipe,Reena Vyas,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Reena_Vyas/Veg_Mexican_Fried_Rice_Recipe_400x320.jpg,https://www.archanaskitchen.com/vegetarian-mexican-fried-rice-recipe
Malwani Pumpkin And Raw Mango Curry Recipe,Jyothi Rajesh,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/jyothir/Malwani_Pumpkin__Raw_Mango_Curry_400x320.jpg,https://www.archanaskitchen.com/malwani-pumpkin-and-raw-mango-curry-recipe
Broccoli Pakora Masala Recipe - Broccoli In Spicy Yogurt Gravy,Ankita Sheelvant,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/anki.s19-gmail.com/Broccoli_pakora_in_spiced_yogurt_gravy_400x320.jpg,https://www.archanaskitchen.com/broccoli-pakora-masala-recipe-broccoli-in-spiced-yogurt-gravy
Jamaican Style Vegetarian Stew Recipe,Archana Doshi,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2016/1-Archana/Jamaican_Stew-2_400x320.jpg,https://www.archanaskitchen.com/jamaican-pepper-pot-a-vegetarian-stew
Masala Vada Curry Recipe - Chana Dal Vada Curry Recipe,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Masala_Vada_Curry_Recipe-13_400x320.jpg,https://www.archanaskitchen.com/masala-vada-curry-recipe-chana-dal-vada-curry-recipe
Bihari Shakarkand Bhujiya Recipe - Spicy Sweet Potato Sabzi,Archana Doshi,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Bihari_Shakarkand_Bhujia_Recipe-1_400x320.jpg,https://www.archanaskitchen.com/bihari-shakarkand-bhujiya-recipe
no-title,Archana Doshi,no-image,no-url
Konkan Style Vali Bhajji Ambat Recipe-Spiced Malabar Spinach Dal,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2016/oct-17/Vali_Bhajji_Ambat_Recipe_Konkan_Style_Spiced_Malabar_Spinach_Dal_Recipe-1_400x320.jpg,https://www.archanaskitchen.com/vali-bhajji-ambat-recipe-konkan-style-spiced-malabar-spinach-dal-recipe
